customer_id,gender,age_group,region_id,registration_date
C00100,Male,Young Adult,W,2023-03-23
C00101,Male,Elder,S,2024-02-24
C00102,Female,Adult,E,2023-07-15
C00103,Female,Young Adult,S,2023-04-29
C00104,Female,Adult,W,2024-04-28
C00105,Female,Adult,N,2023-12-23
C00106,Female,Young Adult,N,2022-04-26
C00107,Female,Elder,E,2023-06-19
C00108,Female,Elder,N,2023-02-11
C00109,Female,Young Adult,N,2023-11-25
C00110,Male,Elder,W,2023-05-10
C00111,Female,Young Adult,W,2024-08-05
C00112,Male,Young Adult,S,2022-01-23
C00113,Female,Young Adult,W,2023-07-12
C00114,Female,Elder,E,2024-07-29
C00115,Male,Adult,N,2024-05-04
C00116,Female,Young Adult,E,2024-11-04
C00117,Male,Young Adult,E,2024-06-09
C00118,Female,Adult,W,2022-03-19
C00119,Female,Teenager,N,2024-03-17
C00120,Male,Elder,E,2024-11-07
C00121,Female,Adult,N,2024-02-07
C00122,Male,Adult,N,2023-03-30
C00123,Female,Elder,N,2024-07-16
C00124,Male,Young Adult,W,2022-10-04
C00125,Male,Elder,W,2024-11-16
C00126,Female,Adult,W,2023-05-29
C00127,Female,Adult,E,2023-04-09
C00128,Male,Young Adult,S,2024-03-17
C00129,Female,Elder,N,2024-04-03
C00130,Female,Young Adult,N,2022-12-29
C00131,Female,Young Adult,S,2024-01-21
C00132,Male,Teenager,W,2023-06-09
C00133,Male,Adult,E,2022-02-25
C00134,Male,Adult,N,2023-05-04
C00135,Male,Adult,N,2024-11-17
C00136,Male,Elder,N,2023-12-23
C00137,Male,Teenager,S,2022-02-10
C00138,Male,Adult,W,2024-09-30
C00139,Male,Young Adult,E,2022-09-17
C00140,Male,Elder,W,2023-03-17
C00141,Female,Adult,S,2024-07-14
C00142,Male,Adult,S,2024-05-05
C00143,Female,Adult,N,2022-03-25
C00144,Female,Young Adult,W,2022-02-15
C00145,Female,Adult,W,2023-03-16
C00146,Male,Adult,N,2024-09-12
C00147,Male,Adult,E,2022-05-16
C00148,Male,Young Adult,E,2024-06-27
C00149,Male,Adult,E,2024-05-10
C00150,Female,Adult,W,2024-02-27
C00151,Male,Young Adult,E,2023-08-13
C00152,Male,Young Adult,E,2024-08-13
C00153,Male,Adult,N,2023-11-21
C00154,Male,Adult,N,2023-06-23
C00155,Male,Teenager,N,2023-12-09
C00156,Female,Young Adult,N,2022-10-22
C00157,Male,Young Adult,E,2022-02-22
C00158,Female,Young Adult,E,2024-03-16
C00159,Male,Adult,N,2022-02-21
C00160,Female,Adult,W,2023-12-29
C00161,Male,Adult,N,2022-03-13
C00162,Male,Adult,S,2022-01-28
C00163,Female,Young Adult,N,2023-04-14
C00164,Female,Adult,S,2024-02-03
C00165,Female,Adult,N,2024-06-04
C00166,Male,Elder,E,2024-06-30
C00167,Female,Adult,S,2023-07-01
C00168,Male,Young Adult,W,2022-07-20
C00169,Male,Adult,N,2024-03-30
C00170,Female,Young Adult,N,2023-07-14
C00171,Female,Adult,N,2023-01-14
C00172,Male,Teenager,E,2024-12-11
C00173,Male,Young Adult,N,2022-03-20
C00174,Female,Elder,W,2024-04-13
C00175,Female,Young Adult,E,2024-10-28
C00176,Female,Adult,E,2022-01-25
C00177,Male,Young Adult,E,2023-03-26
C00178,Male,Adult,N,2024-02-07
C00179,Male,Adult,N,2024-01-25
C00180,Male,Adult,S,2022-07-17
C00181,Male,Young Adult,E,2023-03-13
C00182,Male,Young Adult,N,2023-11-21
C00183,Female,Teenager,N,2023-08-10
C00184,Male,Young Adult,W,2022-04-14
C00185,Male,Adult,N,2023-09-19
C00186,Male,Elder,W,2024-11-28
C00187,Female,Elder,W,2023-04-03
C00188,Male,Adult,N,2022-12-30
C00189,Male,Adult,N,2022-05-15
C00190,Female,Adult,N,2023-01-09
C00191,Male,Young Adult,E,2022-02-08
C00192,Male,Elder,E,2024-03-29
C00193,Male,Adult,W,2022-02-16
C00194,Male,Adult,W,2022-02-05
C00195,Male,Teenager,E,2022-04-05
C00196,Female,Young Adult,N,2024-09-11
C00197,Female,Adult,N,2023-01-03
C00198,Female,Elder,W,2022-03-06
C00199,Male,Adult,N,2024-01-24
C00200,Male,Young Adult,N,2024-03-26
C00201,Male,Elder,E,2024-01-26
C00202,Female,Teenager,S,2022-06-30
C00203,Male,Young Adult,W,2023-08-20
C00204,Male,Teenager,E,2024-02-26
C00205,Female,Adult,N,2023-09-19
C00206,Male,Elder,W,2023-09-08
C00207,Female,Young Adult,N,2022-04-22
C00208,Female,Elder,S,2023-03-29
C00209,Female,Young Adult,S,2024-01-26
C00210,Male,Elder,N,2023-08-07
C00211,Male,Adult,E,2022-05-19
C00212,Male,Adult,N,2022-08-19
C00213,Male,Teenager,S,2024-09-10
C00214,Male,Elder,S,2022-09-10
C00215,Male,Adult,W,2023-07-15
C00216,Male,Young Adult,W,2022-03-13
C00217,Female,Adult,N,2022-08-10
C00218,Male,Young Adult,S,2022-03-03
C00219,Female,Elder,S,2024-03-16
C00220,Male,Teenager,N,2022-05-05
C00221,Male,Adult,W,2024-01-11
C00222,Male,Adult,E,2022-06-10
C00223,Female,Teenager,N,2023-06-25
C00224,Female,Young Adult,S,2023-09-18
C00225,Female,Teenager,N,2022-04-16
C00226,Female,Adult,E,2024-02-15
C00227,Male,Young Adult,N,2022-01-02
C00228,Female,Adult,W,2022-08-21
C00229,Male,Young Adult,W,2023-01-04
C00230,Male,Young Adult,S,2024-08-03
C00231,Female,Adult,E,2022-06-29
C00232,Female,Teenager,W,2022-10-20
C00233,Female,Elder,E,2023-08-07
C00234,Female,Elder,N,2024-03-05
C00235,Female,Adult,S,2022-06-24
C00236,Female,Adult,W,2022-05-03
C00237,Female,Elder,E,2022-08-15
C00238,Female,Young Adult,E,2023-03-20
C00239,Male,Teenager,W,2023-03-04
C00240,Female,Young Adult,W,2024-02-04
C00241,Female,Adult,W,2023-09-24
C00242,Male,Teenager,N,2022-03-06
C00243,Female,Adult,E,2023-03-04
C00244,Male,Elder,E,2023-09-10
C00245,Male,Elder,W,2024-07-13
C00246,Female,Adult,E,2024-03-22
C00247,Male,Teenager,N,2022-04-17
C00248,Male,Adult,W,2023-10-21
C00249,Male,Adult,E,2022-09-22
C00250,Male,Teenager,N,2022-06-04
C00251,Female,Teenager,S,2024-11-02
C00252,Male,Elder,N,2024-06-14
C00253,Female,Adult,S,2024-09-19
C00254,Male,Adult,N,2022-09-02
C00255,Male,Elder,S,2023-01-21
C00256,Male,Adult,E,2024-01-29
C00257,Male,Adult,E,2023-02-18
C00258,Female,Young Adult,E,2023-12-16
C00259,Female,Young Adult,W,2024-01-29
C00260,Male,Young Adult,N,2024-01-17
C00261,Male,Adult,N,2023-08-16
C00262,Female,Adult,W,2024-04-18
C00263,Male,Elder,N,2022-01-16
C00264,Male,Young Adult,W,2024-09-19
C00265,Male,Adult,W,2024-12-04
C00266,Female,Adult,E,2023-10-13
C00267,Female,Adult,W,2022-05-28
C00268,Female,Adult,N,2022-12-21
C00269,Male,Young Adult,S,2023-12-04
C00270,Male,Adult,E,2023-09-05
C00271,Female,Teenager,S,2022-04-15
C00272,Female,Young Adult,W,2023-01-31
C00273,Female,Adult,N,2023-08-29
C00274,Female,Adult,E,2024-04-30
C00275,Male,Elder,E,2023-03-18
C00276,Female,Adult,E,2024-05-22
C00277,Male,Adult,N,2023-10-29
C00278,Female,Adult,S,2024-11-17
C00279,Male,Adult,W,2024-03-04
C00280,Female,Teenager,N,2023-04-20
C00281,Female,Young Adult,W,2023-09-20
C00282,Female,Young Adult,E,2023-05-17
C00283,Female,Adult,W,2022-12-14
C00284,Male,Teenager,E,2024-10-14
C00285,Female,Young Adult,N,2023-07-24
C00286,Male,Young Adult,E,2023-11-26
C00287,Male,Elder,W,2022-01-26
C00288,Male,Young Adult,S,2022-08-05
C00289,Male,Adult,W,2024-04-16
C00290,Female,Young Adult,S,2024-02-13
C00291,Male,Adult,N,2024-11-12
C00292,Male,Young Adult,S,2023-11-01
C00293,Male,Young Adult,W,2023-12-19
C00294,Female,Adult,S,2022-11-06
C00295,Female,Teenager,W,2023-08-22
C00296,Female,Teenager,W,2022-09-24
C00297,Female,Young Adult,S,2023-10-08
C00298,Male,Teenager,N,2024-10-19
C00299,Male,Teenager,E,2023-03-26
C00300,Female,Young Adult,S,2023-07-19
C00301,Male,Adult,W,2024-11-25
C00302,Male,Adult,S,2022-01-28
C00303,Male,Adult,E,2022-08-08
C00304,Female,Young Adult,W,2023-02-10
C00305,Female,Elder,S,2022-09-28
C00306,Male,Young Adult,S,2024-03-02
C00307,Female,Teenager,S,2024-08-20
C00308,Female,Adult,S,2024-04-13
C00309,Female,Teenager,E,2022-11-13
C00310,Female,Young Adult,W,2022-12-04
C00311,Female,Adult,S,2022-12-17
C00312,Male,Elder,E,2023-05-26
C00313,Female,Adult,E,2023-06-09
C00314,Male,Adult,N,2023-05-07
C00315,Male,Elder,N,2022-01-09
C00316,Female,Young Adult,W,2023-07-15
C00317,Male,Young Adult,E,2023-03-16
C00318,Male,Young Adult,E,2024-03-02
C00319,Male,Young Adult,E,2022-02-02
C00320,Female,Young Adult,N,2024-11-12
C00321,Female,Elder,E,2024-04-24
C00322,Male,Adult,E,2023-07-20
C00323,Female,Adult,E,2022-02-18
C00324,Female,Young Adult,S,2023-04-07
C00325,Female,Adult,N,2023-08-13
C00326,Female,Elder,N,2022-12-02
C00327,Male,Adult,W,2022-12-25
C00328,Male,Teenager,S,2022-12-12
C00329,Female,Adult,S,2022-07-12
C00330,Female,Teenager,N,2024-01-26
C00331,Male,Young Adult,N,2023-04-23
C00332,Male,Teenager,E,2024-04-07
C00333,Female,Adult,E,2024-06-08
C00334,Male,Adult,E,2023-10-15
C00335,Female,Teenager,N,2023-02-12
C00336,Female,Young Adult,E,2022-10-13
C00337,Male,Adult,N,2024-04-30
C00338,Male,Young Adult,N,2022-04-21
C00339,Female,Young Adult,S,2023-09-12
C00340,Female,Young Adult,N,2024-03-03
C00341,Male,Adult,N,2022-02-19
C00342,Female,Teenager,E,2024-11-03
C00343,Male,Teenager,E,2023-08-11
C00344,Female,Young Adult,W,2023-08-19
C00345,Male,Elder,S,2023-11-01
C00346,Male,Adult,N,2022-11-10
C00347,Male,Adult,N,2023-08-29
C00348,Female,Young Adult,W,2022-10-24
C00349,Female,Adult,E,2023-07-23
C00350,Male,Teenager,E,2024-04-11
C00351,Female,Adult,N,2023-09-02
C00352,Male,Elder,E,2022-01-16
C00353,Male,Adult,N,2022-03-13
C00354,Female,Elder,E,2022-09-27
C00355,Female,Adult,W,2022-10-14
C00356,Male,Young Adult,W,2022-03-07
C00357,Female,Elder,E,2024-05-29
C00358,Female,Teenager,S,2022-03-09
C00359,Male,Adult,W,2024-12-14
C00360,Male,Young Adult,E,2024-09-06
C00361,Female,Teenager,N,2024-08-31
C00362,Male,Young Adult,S,2023-05-23
C00363,Male,Young Adult,N,2024-04-16
C00364,Female,Adult,S,2024-06-04
C00365,Male,Adult,S,2024-03-04
C00366,Male,Teenager,E,2023-02-26
C00367,Female,Young Adult,S,2024-02-14
C00368,Female,Adult,N,2023-04-23
C00369,Male,Young Adult,E,2024-07-14
C00370,Male,Adult,W,2022-04-30
C00371,Female,Adult,E,2023-05-03
C00372,Female,Adult,S,2022-03-19
C00373,Female,Adult,W,2024-11-27
C00374,Female,Young Adult,W,2023-03-17
C00375,Male,Adult,N,2023-04-07
C00376,Female,Young Adult,N,2023-09-04
C00377,Female,Young Adult,E,2024-07-05
C00378,Male,Adult,W,2023-09-01
C00379,Female,Young Adult,W,2022-01-06
C00380,Male,Adult,W,2023-11-12
C00381,Female,Adult,E,2024-06-13
C00382,Female,Elder,E,2022-09-28
C00383,Female,Elder,N,2024-03-21
C00384,Male,Young Adult,N,2023-07-13
C00385,Male,Young Adult,S,2022-04-09
C00386,Female,Adult,E,2023-06-10
C00387,Male,Young Adult,E,2022-07-13
C00388,Male,Adult,E,2023-01-31
C00389,Male,Adult,N,2024-02-09
C00390,Male,Adult,E,2024-10-20
C00391,Male,Young Adult,N,2024-05-29
C00392,Male,Young Adult,S,2024-01-15
C00393,Female,Young Adult,W,2023-11-14
C00394,Female,Young Adult,E,2022-01-15
C00395,Male,Elder,W,2023-01-03
C00396,Female,Young Adult,N,2023-09-30
C00397,Female,Young Adult,E,2024-05-02
C00398,Female,Teenager,S,2023-12-01
C00399,Female,Adult,S,2022-01-05
C00400,Male,Adult,W,2022-08-19
C00401,Female,Young Adult,E,2024-10-08
C00402,Female,Teenager,W,2023-08-09
C00403,Male,Young Adult,N,2022-06-18
C00404,Male,Young Adult,W,2024-01-31
C00405,Female,Adult,N,2024-03-02
C00406,Female,Adult,W,2024-09-26
C00407,Female,Young Adult,S,2022-06-01
C00408,Female,Young Adult,S,2024-10-12
C00409,Female,Elder,E,2022-08-12
C00410,Female,Adult,W,2023-05-19
C00411,Male,Adult,N,2022-02-13
C00412,Female,Young Adult,S,2023-11-28
C00413,Female,Adult,W,2023-05-19
C00414,Male,Teenager,S,2024-07-18
C00415,Male,Adult,N,2024-04-22
C00416,Male,Elder,S,2022-12-17
C00417,Male,Young Adult,S,2022-01-23
C00418,Female,Teenager,W,2023-08-21
C00419,Female,Teenager,W,2024-12-02
C00420,Female,Young Adult,E,2023-04-11
C00421,Female,Young Adult,W,2022-02-09
C00422,Female,Teenager,S,2022-10-30
C00423,Female,Adult,N,2022-06-24
C00424,Male,Adult,N,2024-09-25
C00425,Female,Young Adult,S,2023-09-13
C00426,Male,Elder,N,2022-09-01
C00427,Male,Teenager,W,2024-04-15
C00428,Female,Elder,W,2022-10-07
C00429,Male,Young Adult,N,2024-11-25
C00430,Female,Elder,E,2023-07-11
C00431,Male,Adult,E,2024-06-16
C00432,Female,Adult,W,2024-11-12
C00433,Male,Elder,W,2023-12-20
C00434,Female,Young Adult,E,2024-07-20
C00435,Female,Elder,W,2022-04-01
C00436,Female,Young Adult,E,2023-01-25
C00437,Female,Young Adult,E,2023-07-04
C00438,Female,Young Adult,N,2024-07-19
C00439,Male,Adult,N,2024-11-27
C00440,Male,Young Adult,E,2024-01-03
C00441,Male,Adult,N,2023-05-15
C00442,Female,Adult,N,2024-12-02
C00443,Male,Adult,E,2024-05-20
C00444,Female,Adult,N,2023-06-01
C00445,Female,Young Adult,E,2022-03-09
C00446,Male,Young Adult,E,2022-05-03
C00447,Male,Young Adult,W,2022-12-02
C00448,Female,Young Adult,E,2024-08-31
C00449,Male,Teenager,N,2024-02-18
C00450,Female,Young Adult,E,2023-02-27
C00451,Female,Young Adult,W,2024-07-27
C00452,Female,Elder,W,2024-03-14
C00453,Female,Adult,S,2023-09-26
C00454,Female,Young Adult,S,2024-12-18
C00455,Male,Adult,W,2022-04-06
C00456,Male,Young Adult,N,2022-12-20
C00457,Female,Young Adult,E,2024-08-24
C00458,Female,Adult,S,2024-07-11
C00459,Male,Adult,N,2023-04-18
C00460,Male,Young Adult,S,2023-03-06
C00461,Female,Elder,N,2024-09-01
C00462,Male,Elder,E,2023-06-21
C00463,Female,Adult,W,2022-03-28
C00464,Male,Adult,N,2022-04-19
C00465,Female,Adult,W,2024-09-20
C00466,Male,Young Adult,N,2024-04-01
C00467,Female,Young Adult,E,2024-07-25
C00468,Male,Teenager,N,2024-10-01
C00469,Male,Adult,W,2023-10-11
C00470,Female,Adult,W,2022-07-10
C00471,Male,Young Adult,E,2024-07-21
C00472,Female,Elder,W,2022-05-22
C00473,Male,Elder,E,2025-01-01
C00474,Female,Adult,W,2024-04-19
C00475,Male,Adult,E,2022-06-17
C00476,Female,Elder,W,2023-07-20
C00477,Male,Young Adult,E,2024-01-14
C00478,Female,Adult,N,2023-11-04
C00479,Male,Young Adult,E,2024-05-13
C00480,Female,Adult,N,2024-04-18
C00481,Female,Young Adult,E,2023-06-15
C00482,Female,Elder,E,2024-08-31
C00483,Male,Elder,E,2023-07-16
C00484,Female,Young Adult,N,2022-06-24
C00485,Male,Adult,N,2022-10-29
C00486,Female,Elder,E,2022-07-04
C00487,Male,Adult,W,2023-05-25
C00488,Female,Elder,S,2024-03-29
C00489,Male,Adult,S,2022-06-05
C00490,Male,Young Adult,E,2024-02-26
C00491,Female,Young Adult,E,2024-03-05
C00492,Male,Young Adult,N,2023-03-08
C00493,Male,Adult,S,2024-01-31
C00494,Female,Young Adult,N,2022-05-27
C00495,Male,Adult,W,2023-04-26
C00496,Male,Adult,N,2023-03-11
C00497,Male,Adult,S,2022-03-10
C00498,Female,Elder,N,2024-05-24
C00499,Male,Elder,N,2022-07-05
C00500,Female,Young Adult,W,2024-06-22
C00501,Male,Adult,N,2023-11-13
C00502,Male,Adult,N,2022-07-23
C00503,Male,Adult,S,2023-07-08
C00504,Female,Elder,N,2022-01-13
C00505,Male,Young Adult,N,2023-10-28
C00506,Male,Teenager,W,2022-02-20
C00507,Female,Elder,W,2023-05-15
C00508,Male,Young Adult,W,2023-01-04
C00509,Female,Adult,W,2023-12-25
C00510,Female,Elder,E,2022-12-23
C00511,Male,Teenager,N,2024-10-23
C00512,Female,Elder,W,2024-04-26
C00513,Male,Young Adult,W,2022-09-13
C00514,Female,Adult,W,2022-10-06
C00515,Female,Adult,E,2024-12-18
C00516,Male,Elder,N,2023-03-22
C00517,Female,Teenager,W,2022-04-23
C00518,Female,Adult,E,2024-04-15
C00519,Female,Adult,W,2024-01-25
C00520,Female,Adult,N,2023-01-02
C00521,Female,Adult,N,2024-12-19
C00522,Male,Young Adult,N,2022-11-25
C00523,Female,Young Adult,W,2023-12-29
C00524,Male,Young Adult,N,2024-10-02
C00525,Female,Adult,N,2023-12-21
C00526,Male,Young Adult,W,2024-12-22
C00527,Male,Young Adult,N,2022-07-03
C00528,Female,Elder,W,2024-10-19
C00529,Female,Teenager,S,2022-11-07
C00530,Female,Elder,W,2022-06-26
C00531,Male,Adult,E,2025-01-01
C00532,Female,Adult,W,2024-04-26
C00533,Male,Young Adult,W,2022-01-09
C00534,Male,Teenager,N,2022-08-24
C00535,Male,Adult,N,2023-12-11
C00536,Female,Adult,N,2024-07-12
C00537,Female,Adult,E,2023-11-16
C00538,Male,Young Adult,W,2024-03-04
C00539,Male,Adult,S,2024-11-17
C00540,Female,Adult,E,2024-03-18
C00541,Male,Adult,N,2022-01-27
C00542,Female,Adult,W,2023-07-04
C00543,Male,Adult,W,2022-03-26
C00544,Female,Adult,N,2024-11-19
C00545,Male,Teenager,E,2023-04-11
C00546,Female,Adult,N,2022-01-12
C00547,Male,Teenager,E,2024-10-09
C00548,Female,Young Adult,E,2024-11-19
C00549,Female,Young Adult,N,2024-11-27
C00550,Male,Teenager,S,2023-07-26
C00551,Male,Young Adult,S,2024-07-02
C00552,Female,Teenager,E,2022-06-29
C00553,Male,Adult,E,2024-03-07
C00554,Female,Elder,N,2024-11-10
C00555,Male,Teenager,W,2023-03-17
C00556,Female,Elder,E,2024-06-05
C00557,Female,Adult,S,2023-02-25
C00558,Female,Young Adult,N,2023-04-13
C00559,Female,Teenager,W,2023-12-14
C00560,Female,Adult,W,2023-01-20
C00561,Female,Adult,N,2022-11-10
C00562,Male,Adult,S,2024-02-10
C00563,Male,Teenager,N,2024-08-16
C00564,Male,Teenager,E,2024-07-05
C00565,Female,Young Adult,N,2022-01-23
C00566,Female,Young Adult,S,2022-12-05
C00567,Female,Young Adult,E,2024-04-02
C00568,Female,Young Adult,E,2023-01-01
C00569,Male,Adult,S,2024-07-03
C00570,Male,Elder,S,2023-04-20
C00571,Female,Young Adult,E,2022-01-27
C00572,Male,Elder,N,2024-07-30
C00573,Male,Young Adult,N,2024-03-12
C00574,Female,Adult,W,2024-03-11
C00575,Male,Young Adult,N,2024-05-09
C00576,Female,Adult,E,2024-05-13
C00577,Male,Elder,W,2023-11-21
C00578,Female,Adult,N,2024-01-09
C00579,Female,Young Adult,S,2023-02-19
C00580,Female,Adult,E,2024-09-08
C00581,Female,Young Adult,W,2023-03-05
C00582,Male,Elder,W,2022-02-10
C00583,Female,Adult,E,2024-06-23
C00584,Female,Young Adult,N,2024-10-08
C00585,Female,Adult,E,2023-12-04
C00586,Male,Adult,S,2022-03-20
C00587,Female,Teenager,S,2023-12-18
C00588,Male,Adult,N,2023-06-28
C00589,Female,Young Adult,N,2023-04-19
C00590,Male,Adult,W,2022-10-21
C00591,Male,Adult,S,2023-09-02
C00592,Female,Adult,S,2022-05-16
C00593,Male,Adult,S,2023-04-29
C00594,Female,Adult,W,2024-03-24
C00595,Female,Young Adult,E,2023-07-09
C00596,Female,Adult,N,2022-02-15
C00597,Male,Young Adult,N,2024-12-07
C00598,Male,Adult,N,2022-07-17
C00599,Female,Young Adult,W,2022-03-25
C00600,Female,Young Adult,E,2023-06-27
C00601,Male,Adult,E,2022-03-12
C00602,Female,Teenager,E,2023-06-04
C00603,Female,Adult,S,2024-06-16
C00604,Female,Young Adult,W,2024-07-01
C00605,Male,Teenager,E,2024-12-11
C00606,Male,Adult,N,2024-12-04
C00607,Male,Teenager,N,2022-10-20
C00608,Female,Young Adult,E,2024-07-26
C00609,Female,Adult,W,2024-03-22
C00610,Female,Teenager,S,2024-05-16
C00611,Male,Adult,W,2023-01-15
C00612,Female,Teenager,W,2024-10-03
C00613,Female,Young Adult,N,2022-09-19
C00614,Female,Adult,N,2023-08-03
C00615,Female,Young Adult,N,2022-12-23
C00616,Male,Teenager,E,2023-11-29
C00617,Male,Young Adult,N,2024-11-02
C00618,Female,Young Adult,S,2023-03-19
C00619,Male,Adult,E,2023-12-27
C00620,Male,Young Adult,E,2022-10-13
C00621,Female,Adult,N,2023-07-24
C00622,Female,Elder,S,2024-04-19
C00623,Male,Young Adult,E,2023-05-13
C00624,Female,Elder,E,2023-12-06
C00625,Male,Young Adult,W,2023-07-16
C00626,Female,Elder,N,2022-02-01
C00627,Male,Teenager,W,2022-02-12
C00628,Female,Adult,E,2023-07-13
C00629,Male,Adult,E,2022-09-27
C00630,Male,Young Adult,E,2024-07-31
C00631,Male,Adult,S,2024-11-08
C00632,Female,Adult,N,2022-02-06
C00633,Male,Teenager,E,2022-04-02
C00634,Male,Young Adult,E,2022-07-04
C00635,Female,Adult,E,2023-12-29
C00636,Female,Adult,S,2024-11-17
C00637,Male,Elder,W,2023-01-07
C00638,Male,Adult,E,2024-04-11
C00639,Female,Elder,N,2022-12-11
C00640,Female,Adult,S,2022-03-19
C00641,Female,Young Adult,W,2022-06-16
C00642,Female,Teenager,W,2022-09-21
C00643,Female,Adult,E,2023-12-25
C00644,Male,Adult,W,2023-05-27
C00645,Female,Teenager,N,2023-07-30
C00646,Male,Young Adult,S,2023-12-23
C00647,Male,Elder,W,2023-03-07
C00648,Male,Adult,W,2024-02-07
C00649,Female,Young Adult,E,2023-04-08
C00650,Male,Adult,W,2022-04-11
C00651,Male,Young Adult,N,2024-11-05
C00652,Female,Young Adult,W,2022-09-01
C00653,Male,Young Adult,S,2022-04-15
C00654,Male,Teenager,N,2023-11-25
C00655,Female,Adult,N,2024-12-06
C00656,Male,Young Adult,S,2024-12-02
C00657,Male,Adult,N,2024-03-28
C00658,Male,Elder,S,2022-08-09
C00659,Female,Young Adult,N,2022-05-24
C00660,Female,Adult,N,2024-06-08
C00661,Female,Adult,E,2024-11-17
C00662,Male,Elder,S,2024-02-29
C00663,Male,Young Adult,S,2023-07-07
C00664,Female,Adult,E,2024-04-23
C00665,Male,Adult,W,2023-10-21
C00666,Male,Young Adult,W,2024-04-16
C00667,Female,Young Adult,S,2024-10-15
C00668,Female,Adult,E,2024-01-21
C00669,Male,Adult,N,2022-09-06
C00670,Male,Young Adult,N,2024-02-14
C00671,Male,Adult,S,2024-02-03
C00672,Female,Young Adult,W,2023-11-23
