transaction_id,transaction_datetime,customer_id,store_id,product_id,promotion_id,quantity,selling_price,discount_amount,total_revenue,total_cost,profit
T000034,2025-07-11 05:15:33,C03030,S006,P003,,4,8.4,0.0,36.29,20.0,16.29
T000035,2024-04-29 13:56:29,C03007,S006,P003,,7,8.0,0.0,56.0,35.0,21.0
T000036,2025-03-19 07:14:57,C00394,S004,P007,,5,2.94,0.0,14.7,6.0,8.7
T000037,2025-08-01 12:59:45,C02062,S001,P007,,3,2.94,0.0,7.81,3.6,4.21
T000038,2024-02-24 22:54:25,C00954,S001,P008,,4,7.0,0.0,28.0,16.0,12.0
T000039,2024-07-19 23:01:54,C00501,S002,P008,,4,7.0,0.0,30.24,16.0,14.24
T000040,2024-12-05 17:50:28,C03525,S002,P015,,1,899.0,0.0,1033.85,450.0,583.85
T000041,2025-07-31 23:04:56,C03922,S008,P006,,2,2.1,0.0,4.54,2.0,2.54
T000042,2025-03-17 14:47:11,C01998,S006,P021,,3,61.95,0.0,185.85,75.0,110.85
T000043,2025-09-27 04:44:37,C03510,S002,P001,,4,12.6,0.0,41.33,32.0,9.33
T000044,2024-09-24 12:33:02,C01851,S006,P007,,2,2.8,0.0,5.6,2.4,3.2
T000045,2024-08-25 14:57:18,C00776,S001,P008,,1,7.0,0.0,7.56,4.0,3.56
T000046,2024-05-27 20:31:07,C01652,S001,P007,,5,2.8,0.0,14.0,6.0,8.0
T000047,2024-03-06 00:29:49,C01929,S008,P005,,8,3.2,0.0,25.6,12.0,13.6
T000048,2025-11-26 02:29:28,C00595,S004,P019,,4,9.45,0.0,43.47,16.0,27.47
T000049,2024-04-19 13:36:57,C00443,S004,P001,,3,12.0,0.0,36.0,24.0,12.0
T000050,2024-09-21 06:21:01,C00023,S007,P003,,3,8.0,0.0,24.0,15.0,9.0
T000051,2024-09-10 20:47:24,C01573,S001,P001,,5,12.0,0.0,60.0,40.0,20.0
T000052,2024-10-17 02:13:08,C00765,S008,P003,,2,8.0,0.0,16.0,10.0,6.0
T000053,2025-05-20 20:28:31,C01863,S001,P020,,3,5.25,0.0,12.92,6.0,6.91
T000054,2025-06-01 10:08:42,C03826,S007,P003,,2,8.4,0.0,16.8,10.0,6.8
T000055,2025-09-02 15:37:09,C00510,S003,P009,,1,943.95,0.0,943.95,550.0,393.95
T000056,2025-11-21 00:13:29,C01568,S001,P008,,8,7.35,0.0,55.45,32.0,23.45
T000057,2025-01-03 13:02:51,C02454,S006,P019,,2,9.45,0.0,18.9,8.0,10.9
T000058,2025-03-17 20:47:03,C00382,S003,P008,,4,7.35,0.0,29.4,16.0,13.4
T000059,2024-04-21 14:14:07,C03421,S008,P004,,6,2.2,0.0,13.2,7.2,6.0
T000060,2025-04-04 10:30:26,C02709,S001,P009,,1,943.95,0.0,774.04,550.0,224.04
T000061,2025-07-21 02:58:09,C00845,S007,P004,,5,2.31,0.0,12.47,6.0,6.47
T000062,2024-01-01 06:30:39,C03827,S005,P006,,3,2.0,0.0,6.0,3.0,3.0
T000063,2024-04-23 08:52:34,C01329,S002,P003,,5,8.0,0.0,40.0,25.0,15.0
T000064,2024-05-06 01:01:17,C00699,S007,P005,,7,3.2,0.0,22.4,10.5,11.9
T000065,2024-10-25 09:54:48,C02940,S005,P008,,3,7.0,0.0,21.0,12.0,9.0
T000066,2025-06-26 12:50:23,C02937,S002,P021,,4,61.95,0.0,203.2,100.0,103.2
T000067,2024-07-30 09:18:45,C03639,S005,P002,,7,1.8,0.0,13.61,7.7,5.91
T000068,2024-09-03 19:53:29,C01298,S003,P006,,5,2.0,0.0,10.0,5.0,5.0
T000069,2025-03-23 07:34:51,C02067,S004,P022,,2,18.9,0.0,37.8,12.0,25.8
T000070,2025-10-03 03:44:03,C00466,S002,P016,,1,156.45,0.0,128.29,60.0,68.29
T000071,2024-07-16 00:12:57,C00280,S002,P002,,7,1.8,0.0,13.61,7.7,5.91
T000072,2025-06-26 12:21:06,C03646,S003,P024,,4,12.6,0.0,50.4,16.0,34.4
T000073,2025-08-22 16:57:16,C00866,S006,P002,,2,1.89,0.0,4.08,2.2,1.88
T000074,2025-10-25 05:13:53,C00765,S007,P003,,8,8.4,0.0,67.2,40.0,27.2
T000075,2025-08-16 00:41:18,C03616,S008,P001,,3,12.6,0.0,40.82,24.0,16.82
T000076,2025-12-12 23:24:15,C01325,S002,P023,,3,36.75,0.0,103.97,36.0,67.97
T000077,2024-06-29 18:27:41,C02282,S007,P005,,8,3.2,0.0,25.6,12.0,13.6
T000078,2025-10-03 04:59:15,C00563,S002,P008,,1,7.35,0.0,6.03,4.0,2.03
T000079,2025-09-28 06:41:12,C03575,S005,P003,,4,8.4,0.0,33.6,20.0,13.6
T000080,2025-10-30 22:09:39,C02426,S005,P011,,1,523.95,0.0,523.95,250.0,273.95
T000081,2024-09-05 11:06:04,C03993,S006,P006,,7,2.0,0.0,14.0,7.0,7.0
T000082,2024-09-28 22:11:27,C02923,S003,P022,,2,18.0,0.0,36.0,12.0,24.0
T000083,2024-11-20 11:36:59,C00058,S004,P003,,1,8.0,0.0,9.2,5.0,4.2
T000084,2025-03-10 03:57:08,C00030,S002,P004,,1,2.31,0.0,1.89,1.2,0.69
T000085,2024-09-17 11:40:47,C03045,S005,P002,,6,1.8,0.0,10.8,6.6,4.2
T000086,2025-08-26 06:10:54,C02542,S004,P003,,7,8.4,0.0,63.5,35.0,28.5
T000087,2024-12-22 07:32:07,C02417,S007,P002,PR02,7,1.71,0.09,13.77,7.7,6.07
T000088,2024-11-05 02:26:09,C01400,S002,P011,,1,499.0,0.0,573.85,250.0,323.85
T000089,2024-10-29 11:07:39,C01011,S002,P006,,2,2.0,0.0,4.0,2.0,2.0
T000090,2024-04-08 00:32:58,C03709,S005,P002,,4,1.8,0.0,7.2,4.4,2.8
T000091,2025-07-31 14:13:01,C01629,S008,P007,,6,2.94,0.0,19.05,7.2,11.85
T000092,2024-06-22 14:17:25,C02388,S006,P005,,5,3.2,0.0,16.0,7.5,8.5
T000093,2024-02-15 10:40:27,C00306,S005,P006,,8,2.0,0.0,16.0,8.0,8.0
T000094,2025-01-03 00:40:03,C03644,S001,P021,,3,61.95,0.0,185.85,75.0,110.85
T000095,2025-02-03 09:16:45,C03651,S002,P001,,2,12.6,0.0,25.2,16.0,9.2
T000096,2024-08-02 17:59:58,C02814,S005,P008,,5,7.0,0.0,37.8,20.0,17.8
T000097,2025-08-13 13:46:08,C03845,S002,P002,,2,1.89,0.0,3.35,2.2,1.15
T000098,2024-03-06 21:42:46,C00712,S002,P007,,6,2.8,0.0,16.8,7.2,9.6
T000099,2024-01-06 01:00:43,C02129,S007,P005,,3,3.2,0.0,9.6,4.5,5.1
T000100,2025-09-09 08:54:00,C01153,S007,P004,,3,2.31,0.0,6.93,3.6,3.33
T000101,2025-02-27 22:53:04,C03176,S001,P019,,1,9.45,0.0,9.45,4.0,5.45
T000102,2024-09-06 15:16:00,C00372,S006,P006,,4,2.0,0.0,8.0,4.0,4.0
T000103,2025-04-20 17:26:24,C02792,S002,P001,,1,12.6,0.0,10.33,8.0,2.33
T000104,2024-11-06 00:53:42,C00150,S007,P003,,5,8.0,0.0,46.0,25.0,21.0
T000105,2025-05-04 16:38:07,C02745,S003,P008,,3,7.35,0.0,22.05,12.0,10.05
T000106,2025-03-26 21:11:54,C03489,S001,P005,,8,3.36,0.0,22.04,12.0,10.04
T000107,2024-06-18 12:15:20,C00775,S006,P014,,1,129.0,0.0,129.0,70.0,59.0
T000108,2024-08-04 20:18:39,C02524,S005,P008,,5,7.0,0.0,37.8,20.0,17.8
T000109,2025-06-02 08:09:54,C03348,S007,P007,,7,2.94,0.0,20.58,8.4,12.18
T000110,2024-04-23 14:16:55,C03113,S003,P004,,2,2.2,0.0,4.4,2.4,2.0
T000111,2024-06-03 19:43:52,C03144,S004,P002,,3,1.8,0.0,5.4,3.3,2.1
T000112,2025-09-12 05:15:46,C03322,S007,P008,,6,7.35,0.0,44.1,24.0,20.1
T000113,2024-06-04 20:14:51,C01692,S007,P008,,7,7.0,0.0,49.0,28.0,21.0
T000114,2025-06-24 01:07:23,C01878,S006,P021,,2,61.95,0.0,123.9,50.0,73.9
T000115,2025-08-24 16:27:14,C03215,S002,P005,,1,3.36,0.0,2.98,1.5,1.48
T000116,2025-08-01 16:52:30,C01823,S005,P005,,4,3.36,0.0,14.52,6.0,8.52
T000117,2025-10-29 20:54:40,C01133,S004,P003,,8,8.4,0.0,67.2,40.0,27.2
T000118,2024-06-05 03:45:53,C01687,S003,P023,,3,35.0,0.0,105.0,36.0,69.0
T000119,2024-09-01 06:15:59,C00809,S006,P002,,1,1.8,0.0,1.8,1.1,0.7
T000120,2025-05-07 01:46:46,C03218,S007,P006,,6,2.1,0.0,12.6,6.0,6.6
T000121,2024-08-07 00:26:58,C01116,S007,P006,,7,2.0,0.0,15.12,7.0,8.12
T000122,2025-02-27 06:23:02,C01764,S004,P007,,4,2.94,0.0,11.76,4.8,6.96
T000123,2024-10-25 23:38:39,C00066,S008,P002,,3,1.8,0.0,5.4,3.3,2.1
T000124,2024-05-23 12:23:32,C02443,S004,P021,,2,59.0,0.0,118.0,50.0,68.0
T000125,2025-07-24 22:16:25,C01866,S008,P008,,7,7.35,0.0,55.57,28.0,27.57
T000126,2024-01-01 16:19:51,C00568,S003,P022,,4,18.0,0.0,72.0,24.0,48.0
T000127,2024-06-03 20:23:48,C01923,S002,P005,,4,3.2,0.0,12.8,6.0,6.8
T000128,2025-06-03 21:36:47,C03022,S008,P004,,6,2.31,0.0,13.86,7.2,6.66
T000129,2025-04-28 09:11:14,C00288,S005,P005,,3,3.36,0.0,10.08,4.5,5.58
T000130,2024-10-12 21:08:08,C01895,S004,P008,,4,7.0,0.0,28.0,16.0,12.0
T000131,2024-01-02 14:38:38,C02361,S008,P005,,3,3.2,0.0,9.6,4.5,5.1
T000132,2025-04-17 11:42:28,C00823,S007,P005,,7,3.36,0.0,23.52,10.5,13.02
T000133,2024-09-19 23:44:22,C00314,S002,P003,,4,8.0,0.0,32.0,20.0,12.0
T000134,2025-10-20 09:50:02,C03649,S003,P011,,1,523.95,0.0,523.95,250.0,273.95
T000135,2024-02-01 13:16:57,C00822,S004,P001,,4,12.0,0.0,48.0,32.0,16.0
T000136,2024-09-19 00:48:56,C01327,S002,P005,,8,3.2,0.0,25.6,12.0,13.6
T000137,2024-05-04 07:18:44,C00203,S008,P020,,2,5.0,0.0,10.0,4.0,6.0
T000138,2024-12-18 13:35:50,C02798,S004,P002,PR02,3,1.71,0.09,5.9,3.3,2.6
T000139,2024-08-10 18:33:30,C00474,S007,P020,,2,5.0,0.0,10.8,4.0,6.8
T000140,2024-07-20 00:02:48,C01388,S007,P004,,6,2.2,0.0,14.26,7.2,7.06
T000141,2025-05-16 06:49:04,C02388,S005,P009,,1,943.95,0.0,943.95,550.0,393.95
T000142,2025-01-06 17:00:03,C03570,S008,P007,,8,2.94,0.0,23.52,9.6,13.92
T000143,2025-04-30 18:27:44,C01037,S001,P003,,8,8.4,0.0,55.1,40.0,15.1
T000144,2024-03-22 07:54:15,C01119,S003,P022,,1,18.0,0.0,18.0,6.0,12.0
T000145,2024-02-14 00:42:10,C00775,S006,P008,,6,7.0,0.0,42.0,24.0,18.0
T000146,2025-04-17 21:46:09,C01044,S002,P011,,1,523.95,0.0,429.64,250.0,179.64
T000147,2025-03-06 12:57:33,C00434,S004,P001,,7,12.6,0.0,88.2,56.0,32.2
T000148,2025-06-21 02:43:47,C00644,S007,P003,,2,8.4,0.0,16.8,10.0,6.8
T000149,2024-04-10 06:06:18,C02579,S006,P006,,2,2.0,0.0,4.0,2.0,2.0
T000150,2024-03-30 04:56:50,C02564,S007,P002,,8,1.8,0.0,14.4,8.8,5.6
T000151,2025-09-28 13:37:46,C00637,S008,P008,,6,7.35,0.0,44.1,24.0,20.1
T000152,2024-05-29 15:18:28,C03150,S003,P019,,4,9.0,0.0,36.0,16.0,20.0
T000153,2024-01-13 00:54:22,C02666,S003,P007,,2,2.8,0.0,5.6,2.4,3.2
T000154,2025-01-07 02:45:48,C01717,S001,P008,,3,7.35,0.0,22.05,12.0,10.05
T000155,2025-03-19 19:01:11,C00263,S001,P007,,5,2.94,0.0,12.05,6.0,6.05
T000156,2024-08-25 10:50:49,C03605,S003,P002,,3,1.8,0.0,5.83,3.3,2.53
T000157,2025-05-02 07:32:07,C00806,S008,P008,,4,7.35,0.0,29.4,16.0,13.4
T000158,2024-07-11 18:05:46,C03330,S008,P002,,1,1.8,0.0,1.94,1.1,0.84
T000159,2024-09-07 19:11:50,C00907,S002,P005,,5,3.2,0.0,16.0,7.5,8.5
T000160,2024-06-06 16:03:51,C01503,S001,P004,,3,2.2,0.0,6.6,3.6,3.0
T000161,2025-10-31 17:55:24,C02947,S007,P009,,1,943.95,0.0,943.95,550.0,393.95
T000162,2024-01-22 00:57:00,C02935,S003,P007,,1,2.8,0.0,2.8,1.2,1.6
T000163,2024-04-03 03:56:52,C02168,S003,P013,,1,699.0,0.0,699.0,320.0,379.0
T000164,2025-12-10 10:07:53,C02263,S008,P007,,6,2.94,0.0,20.29,7.2,13.09
T000165,2024-12-19 16:07:21,C02287,S006,P001,PR02,5,11.4,0.6,65.55,40.0,25.55
T000166,2025-10-22 00:05:14,C01576,S002,P011,,1,523.95,0.0,429.64,250.0,179.64
T000167,2025-03-06 21:06:19,C01061,S008,P024,,2,12.6,0.0,25.2,8.0,17.2
T000168,2025-10-12 22:00:31,C02053,S008,P010,,1,25.2,0.0,25.2,10.0,15.2
T000169,2024-12-11 01:13:30,C00736,S003,P006,,1,2.0,0.0,2.3,1.0,1.3
T000170,2025-05-09 04:23:40,C02110,S007,P001,,5,12.6,0.0,63.0,40.0,23.0
T000171,2024-02-29 05:40:37,C02789,S001,P007,,1,2.8,0.0,2.8,1.2,1.6
T000172,2024-11-27 19:20:07,C03029,S008,P011,,1,499.0,0.0,573.85,250.0,323.85
T000173,2025-09-07 11:14:22,C00171,S001,P002,,6,1.89,0.0,9.3,6.6,2.7
T000174,2024-04-20 04:15:08,C00223,S002,P014,,1,129.0,0.0,129.0,70.0,59.0
T000175,2024-05-06 22:34:40,C02617,S007,P007,,5,2.8,0.0,14.0,6.0,8.0
T000176,2025-11-18 17:40:05,C03663,S002,P001,,4,12.6,0.0,47.53,32.0,15.53
T000177,2024-12-24 12:44:21,C03871,S001,P006,PR02,2,1.9,0.1,4.37,2.0,2.37
T000178,2025-08-14 07:30:06,C00200,S002,P022,,2,18.9,0.0,33.48,12.0,21.48
T000179,2025-07-26 22:25:46,C03503,S004,P001,,8,12.6,0.0,108.86,64.0,44.86
T000180,2025-05-24 14:25:48,C03799,S006,P002,,7,1.89,0.0,13.23,7.7,5.53
T000181,2024-07-23 21:50:44,C01728,S005,P003,,7,8.0,0.0,60.48,35.0,25.48
T000182,2025-11-05 23:24:35,C00955,S008,P008,,1,7.35,0.0,8.45,4.0,4.45
T000183,2024-01-22 04:01:04,C01035,S006,P022,,1,18.0,0.0,18.0,6.0,12.0
T000184,2024-02-19 13:32:58,C01407,S004,P002,,1,1.8,0.0,1.8,1.1,0.7
T000185,2024-04-20 11:32:09,C02420,S002,P008,,7,7.0,0.0,49.0,28.0,21.0
T000186,2025-11-25 06:57:46,C02880,S002,P019,,3,9.45,0.0,26.73,12.0,14.73
T000187,2024-01-18 10:01:35,C00732,S001,P009,,2,899.0,0.0,1798.0,1100.0,698.0
T000188,2025-11-03 17:24:37,C03156,S001,P003,,2,8.4,0.0,15.84,10.0,5.84
T000189,2024-11-29 04:51:46,C00344,S008,P023,,1,35.0,0.0,40.25,12.0,28.25
T000190,2024-03-02 07:24:43,C00655,S001,P002,,8,1.8,0.0,14.4,8.8,5.6
T000191,2025-12-18 17:35:46,C00573,S001,P008,,2,7.35,0.0,13.86,8.0,5.86
T000192,2025-10-11 11:25:31,C03115,S005,P020,,3,5.25,0.0,15.75,6.0,9.75
T000193,2024-12-27 12:50:13,C01665,S006,P006,PR02,8,1.9,0.1,17.48,8.0,9.48
T000194,2025-11-24 22:41:31,C01546,S001,P005,,8,3.36,0.0,25.35,12.0,13.35
T000195,2025-03-12 13:03:26,C03625,S005,P005,,4,3.36,0.0,13.44,6.0,7.44
T000196,2025-04-29 13:13:26,C03123,S004,P024,PR03,4,11.09,1.51,44.35,16.0,28.35
T000197,2024-08-24 03:33:27,C01994,S005,P002,,8,1.8,0.0,15.55,8.8,6.75
T000198,2024-06-23 07:02:28,C02428,S008,P019,,4,9.0,0.0,36.0,16.0,20.0
T000199,2025-02-18 01:10:01,C00386,S004,P001,,1,12.6,0.0,12.6,8.0,4.6
T000200,2025-09-24 18:40:53,C00798,S006,P008,,8,7.35,0.0,58.8,32.0,26.8
T000201,2024-12-14 12:24:15,C03987,S006,P006,,8,2.0,0.0,18.4,8.0,10.4
T000202,2025-11-11 15:55:23,C02435,S007,P005,,4,3.36,0.0,15.46,6.0,9.46
T000203,2024-05-26 06:07:12,C00942,S007,P007,,6,2.8,0.0,16.8,7.2,9.6
T000204,2025-10-30 07:22:13,C03273,S004,P008,,1,7.35,0.0,7.35,4.0,3.35
T000205,2024-12-30 16:25:44,C02383,S004,P007,PR02,6,2.66,0.14,18.35,7.2,11.15
T000206,2024-03-15 14:08:09,C00849,S004,P005,,8,3.2,0.0,25.6,12.0,13.6
T000207,2024-04-18 00:29:07,C00265,S008,P011,,1,499.0,0.0,499.0,250.0,249.0
T000208,2025-06-28 22:29:33,C00204,S004,P020,,4,5.25,0.0,21.0,8.0,13.0
T000209,2024-05-10 18:12:29,C03350,S008,P024,,3,12.0,0.0,36.0,12.0,24.0
T000210,2025-12-16 18:55:21,C02200,S001,P003,,8,8.4,0.0,63.37,40.0,23.37
T000211,2024-05-27 04:00:28,C02833,S004,P007,,6,2.8,0.0,16.8,7.2,9.6
T000212,2025-08-06 07:53:20,C02188,S008,P006,,7,2.1,0.0,15.88,7.0,8.88
T000213,2025-07-24 23:05:33,C02425,S001,P001,,3,12.6,0.0,33.48,24.0,9.48
T000214,2025-06-27 04:11:06,C03643,S005,P007,,7,2.94,0.0,20.58,8.4,12.18
T000215,2024-09-29 22:45:44,C03739,S005,P024,,1,12.0,0.0,12.0,4.0,8.0
T000216,2025-03-31 00:39:43,C00067,S003,P001,,7,12.6,0.0,88.2,56.0,32.2
T000217,2024-08-25 13:14:11,C00305,S006,P005,,2,3.2,0.0,6.91,3.0,3.91
T000218,2024-10-28 20:02:41,C03671,S005,P018,,1,499.0,0.0,499.0,220.0,279.0
T000219,2025-06-15 00:43:59,C03547,S002,P008,,5,7.35,0.0,30.14,20.0,10.13
T000220,2025-03-25 07:58:24,C00003,S008,P020,,4,5.25,0.0,21.0,8.0,13.0
T000221,2024-03-09 01:25:22,C01416,S003,P024,,2,12.0,0.0,24.0,8.0,16.0
T000222,2024-05-28 13:51:18,C00353,S002,P022,,4,18.0,0.0,72.0,24.0,48.0
T000223,2025-08-31 20:26:50,C01448,S001,P004,,3,2.31,0.0,6.14,3.6,2.54
T000224,2025-10-26 09:07:59,C00014,S003,P018,,1,523.95,0.0,523.95,220.0,303.95
T000225,2025-01-02 18:34:33,C00230,S006,P019,,3,9.45,0.0,28.35,12.0,16.35
T000226,2025-05-11 14:07:59,C01745,S005,P005,,1,3.36,0.0,3.36,1.5,1.86
T000227,2025-07-07 09:32:01,C00196,S002,P024,,1,12.6,0.0,11.16,4.0,7.16
T000228,2025-11-02 02:49:18,C01355,S001,P005,,4,3.36,0.0,12.67,6.0,6.67
T000229,2024-07-09 04:11:20,C03113,S003,P019,,2,9.0,0.0,19.44,8.0,11.44
T000230,2024-08-30 16:24:11,C02633,S001,P023,,2,35.0,0.0,75.6,24.0,51.6
T000231,2024-07-15 13:25:48,C01590,S001,P002,,5,1.8,0.0,9.72,5.5,4.22
T000232,2024-02-26 01:36:58,C03114,S006,P008,,8,7.0,0.0,56.0,32.0,24.0
T000233,2024-09-23 10:10:57,C03558,S003,P020,,3,5.0,0.0,15.0,6.0,9.0
T000234,2025-04-03 10:13:24,C02531,S008,P006,,6,2.1,0.0,12.6,6.0,6.6
T000235,2024-03-22 02:13:43,C00616,S003,P021,,2,59.0,0.0,118.0,50.0,68.0
T000236,2025-05-13 07:17:48,C02665,S003,P021,,2,61.95,0.0,123.9,50.0,73.9
T000237,2025-12-17 08:52:44,C00351,S002,P003,,7,8.4,0.0,55.45,35.0,20.45
T000238,2024-01-06 12:39:23,C03937,S006,P007,,3,2.8,0.0,8.4,3.6,4.8
T000239,2025-10-30 07:42:17,C02441,S002,P003,,1,8.4,0.0,6.89,5.0,1.89
T000240,2024-04-09 02:01:11,C03659,S003,P004,,3,2.2,0.0,6.6,3.6,3.0
T000241,2024-11-26 18:30:26,C02667,S003,P008,,6,7.0,0.0,48.3,24.0,24.3
T000242,2024-02-04 23:34:48,C02142,S003,P005,,1,3.2,0.0,3.2,1.5,1.7
T000243,2024-09-05 15:59:59,C00687,S005,P023,,3,35.0,0.0,105.0,36.0,69.0
T000244,2024-07-21 08:08:50,C00967,S008,P005,,2,3.2,0.0,6.91,3.0,3.91
T000245,2025-09-07 10:10:47,C00590,S008,P003,,7,8.4,0.0,58.8,35.0,23.8
T000246,2024-02-22 04:54:25,C00651,S001,P003,,5,8.0,0.0,40.0,25.0,15.0
T000247,2025-08-22 21:25:38,C03515,S003,P008,,2,7.35,0.0,15.88,8.0,7.88
T000248,2024-12-02 14:14:24,C03623,S005,P006,,7,2.0,0.0,16.1,7.0,9.1
T000249,2024-09-04 20:55:25,C03749,S002,P008,,6,7.0,0.0,42.0,24.0,18.0
T000250,2024-07-21 14:44:42,C01599,S007,P008,,7,7.0,0.0,52.92,28.0,24.92
T000251,2025-12-06 17:13:25,C00336,S004,P022,,1,18.9,0.0,21.74,6.0,15.74
T000252,2025-06-11 08:41:16,C01242,S007,P019,,3,9.45,0.0,28.35,12.0,16.35
T000253,2024-04-14 02:12:06,C02068,S006,P007,,5,2.8,0.0,14.0,6.0,8.0
T000254,2024-04-18 13:26:23,C03247,S003,P001,,7,12.0,0.0,84.0,56.0,28.0
T000255,2025-10-13 14:21:39,C03654,S001,P007,,5,2.94,0.0,12.05,6.0,6.05
T000256,2024-08-26 02:16:02,C01682,S003,P005,,2,3.2,0.0,6.91,3.0,3.91
T000257,2025-03-26 16:33:44,C03741,S001,P024,,3,12.6,0.0,31.0,12.0,19.0
T000258,2025-08-29 01:13:40,C03672,S003,P004,,7,2.31,0.0,17.46,8.4,9.06
T000259,2025-02-21 23:45:41,C02821,S002,P022,,2,18.9,0.0,37.8,12.0,25.8
T000260,2025-01-22 13:43:31,C02520,S007,P004,,4,2.31,0.0,9.24,4.8,4.44
T000261,2024-11-20 17:19:12,C00219,S005,P021,,4,59.0,0.0,271.4,100.0,171.4
T000262,2024-04-15 08:19:09,C00157,S004,P006,,8,2.0,0.0,16.0,8.0,8.0
T000263,2024-07-24 00:00:52,C03323,S003,P008,,6,7.0,0.0,45.36,24.0,21.36
T000264,2024-06-20 17:39:32,C00095,S002,P006,,2,2.0,0.0,4.0,2.0,2.0
T000265,2025-09-02 00:22:12,C02456,S002,P008,,4,7.35,0.0,24.11,16.0,8.11
T000266,2025-04-09 00:10:23,C00281,S008,P002,,7,1.89,0.0,13.23,7.7,5.53
T000267,2025-05-06 12:57:02,C01679,S002,P019,,2,9.45,0.0,15.5,8.0,7.5
T000268,2024-03-03 03:50:07,C01553,S003,P020,,1,5.0,0.0,5.0,2.0,3.0
T000269,2025-05-12 01:47:01,C03352,S005,P001,,3,12.6,0.0,37.8,24.0,13.8
T000270,2024-02-16 12:46:02,C02887,S003,P009,,1,899.0,0.0,899.0,550.0,349.0
T000271,2025-08-23 17:48:32,C01560,S008,P024,,3,12.6,0.0,40.82,12.0,28.82
T000272,2025-07-28 00:15:10,C00291,S001,P005,,2,3.36,0.0,5.95,3.0,2.95
T000273,2024-05-07 21:06:57,C03380,S001,P020,,3,5.0,0.0,15.0,6.0,9.0
T000274,2024-02-23 13:15:40,C03714,S002,P004,,7,2.2,0.0,15.4,8.4,7.0
T000275,2025-07-04 11:29:13,C02413,S005,P002,,8,1.89,0.0,16.33,8.8,7.53
T000276,2025-04-19 12:09:09,C02032,S004,P001,,5,12.6,0.0,63.0,40.0,23.0
